"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://pickleoem.com/","text/html; charset=utf-8","200","OK","Indexable","","DJW Pickleball Factory | Direct Wholesale & Custom Paddles","58","539","Direct China factory for premium USAPA approved pickleball paddles and balls. Roto-molded manufacturing, custom OEM/ODM designs. DDP Shipping worldwide.","152","1001","","0","Premium Pickleball Wholesale Direct","35","","0","","0","","","","https://pickleoem.com/","","","","","","23070","16","1.032","0","","31","16","0","100.000","6","6","0","0","0","0","","","","","45bfa524c726d1955efbbea32fd48a87","0.208","","","","","1.1","https://pickleoem.com/","2026-05-01 22:26:59"
"https://pickleoem.com/_next/static/chunks/16ws5cip7fr~t.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.708","Fri, 01 May 2026 01:43:08 GMT","","","","1.1","https://pickleoem.com/_next/static/chunks/16ws5cip7fr~t.js","2026-05-01 22:27:00"
"https://pickleoem.com/_next/image?url=%2Fpickleball.png&w=1024&q=75","image/jpeg","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","57685","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.905","Tue, 31 Mar 2026 07:13:52 GMT","","","","1.1","https://pickleoem.com/_next/image?url=%2Fpickleball.png&w=1024&q=75","2026-05-01 22:27:00"
"https://pickleoem.com/market","text/html; charset=utf-8","200","OK","Indexable","","Pickleball Market in Philippines & Southeast Asia 2026 | Wholesale Guide","72","649","In-depth market data: 18,000 registered players, 277 clubs, 132% awareness growth in Philippines. Why import duties make local wholesale a massive opportunity.","159","1000","","0","Pickleball Philippines Is Exploding.","36","The ₱10,000 Moat","16","Philippines Price Tier Map","26","","","","https://pickleoem.com/market","","","","","","50222","654","10.515","1","","76","16","0","100.000","22","9","0","2","1","0","","","","","3ffac2a23c828871deb979cba0a3458d","0.929","","","","","1.1","https://pickleoem.com/market","2026-05-01 22:27:00"
"https://pickleoem.com/_next/static/chunks/128aahewwf1we.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","1.084","Fri, 01 May 2026 01:43:08 GMT","","","","1.1","https://pickleoem.com/_next/static/chunks/128aahewwf1we.js","2026-05-01 22:27:00"
"https://pickleoem.com/_next/static/chunks/turbopack-0kjd.2cy.yeo6.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","1.280","Fri, 01 May 2026 01:43:08 GMT","","","","1.1","https://pickleoem.com/_next/static/chunks/turbopack-0kjd.2cy.yeo6.js","2026-05-01 22:27:00"
"https://pickleoem.com/_next/static/chunks/0-353vnyovzdx.css","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.683","Fri, 01 May 2026 01:43:08 GMT","","","","1.1","https://pickleoem.com/_next/static/chunks/0-353vnyovzdx.css","2026-05-01 22:27:01"
"https://pickleoem.com/_next/static/chunks/0rd~i2ogmz4je.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.636","Fri, 01 May 2026 01:43:08 GMT","","","","1.1","https://pickleoem.com/_next/static/chunks/0rd~i2ogmz4je.js","2026-05-01 22:27:01"
"https://pickleoem.com/products","text/html; charset=utf-8","200","OK","Indexable","","Products | OEM Pickleball Factory — Paddles & Balls Wholesale","61","560","Full catalog of USAPA-approved pickleball paddles (T700 carbon fiber) and outdoor balls. MOQ 1000 pcs. DDP shipping to Philippines & Southeast Asia.","148","933","","0","Paddles & Balls","15","Pro Carbon Series A","19","Elite Power Paddle","18","","","","https://pickleoem.com/products","","","","","","107046","444","3.585","1","","32","16","0","100.000","22","9","0","2","1","0","","","","","6d4b6343b8850fb7a00049c44ee3d7da","0.439","","","","","1.1","https://pickleoem.com/products","2026-05-01 22:27:01"
"https://pickleoem.com/_next/static/chunks/0i.l9589uvx0j.js","application/javascript; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0.000","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.400","Fri, 01 May 2026 01:43:08 GMT","","","","1.1","https://pickleoem.com/_next/static/chunks/0i.l9589uvx0j.js","2026-05-01 22:27:02"
